subject,PCR,uniqueseq,count,freq
84,F3F_S1R,F3F_S1R.5,520,17.5261206605999
85,F3F_S1R,F3F_S1R.5,843,9.90017615971814
87,F3F_S1R,F3F_S1R.5,814,16.9618670556366
90,F3F_S1R,F3F_S1R.5,987,16.365445199801
91,F3F_S1R,F3F_S1R.5,843,17.7698145025295
92,F3F_S1R,F3F_S1R.5,0,0
93,F3F_S1R,F3F_S1R.5,733,17.7610855342864
95,F3F_S1R,F3F_S1R.5,1,0.0324149108589951
10,F3F_S1R,F3F_S1R.6,717,15.7099035933392
12,F3F_S1R,F3F_S1R.6,0,0
13,F3F_S1R,F3F_S1R.6,0,0
15,F3F_S1R,F3F_S1R.6,3,0.0489715964740451
16,F3F_S1R,F3F_S1R.6,1,0.0196734212079481
17,F3F_S1R,F3F_S1R.6,2,0.128287363694676
18,F3F_S1R,F3F_S1R.6,1,0.00910166560480568
19,F3F_S1R,F3F_S1R.6,3,0.0285171102661597
2,F3F_S1R,F3F_S1R.6,0,0
20,F3F_S1R,F3F_S1R.6,1177,24.5925616381112
21,F3F_S1R,F3F_S1R.6,0,0
23,F3F_S1R,F3F_S1R.6,2772,22.6674298797939
24,F3F_S1R,F3F_S1R.6,370,16.5770609318996
25,F3F_S1R,F3F_S1R.6,0,0
26,F3F_S1R,F3F_S1R.6,1,0.0135135135135135
27,F3F_S1R,F3F_S1R.6,716,15.3846153846154
28,F3F_S1R,F3F_S1R.6,1,0.0159693388693708
29,F3F_S1R,F3F_S1R.6,1,0.0383288616328095
30,F3F_S1R,F3F_S1R.6,0,0
31,F3F_S1R,F3F_S1R.6,1808,15.8055774106128
32,F3F_S1R,F3F_S1R.6,0,0
34,F3F_S1R,F3F_S1R.6,1,0.0185804533630621
36,F3F_S1R,F3F_S1R.6,0,0
37,F3F_S1R,F3F_S1R.6,887,15.6769176387416
38,F3F_S1R,F3F_S1R.6,76,22.2222222222222
39,F3F_S1R,F3F_S1R.6,0,0
4,F3F_S1R,F3F_S1R.6,1,0.0117329578786812
40,F3F_S1R,F3F_S1R.6,195,14.3699336772292
42,F3F_S1R,F3F_S1R.6,0,0
44,F3F_S1R,F3F_S1R.6,0,0
45,F3F_S1R,F3F_S1R.6,0,0
46,F3F_S1R,F3F_S1R.6,704,16.3568773234201
47,F3F_S1R,F3F_S1R.6,0,0
48,F3F_S1R,F3F_S1R.6,304,14.8946594806467
49,F3F_S1R,F3F_S1R.6,2,8
5,F3F_S1R,F3F_S1R.6,1218,26.137339055794
50,F3F_S1R,F3F_S1R.6,0,0
51,F3F_S1R,F3F_S1R.6,410,14.963503649635
52,F3F_S1R,F3F_S1R.6,0,0
53,F3F_S1R,F3F_S1R.6,2,0.0226218753534668
54,F3F_S1R,F3F_S1R.6,1,0.0363636363636364
55,F3F_S1R,F3F_S1R.6,0,0
56,F3F_S1R,F3F_S1R.6,494,16.0545986350341
57,F3F_S1R,F3F_S1R.6,0,0
